Einstein Motorsport,C,Germany,Ulm,UAS Ulm,http://www.einstein-motorsport.com
QUT Motorsport,D,Australia,Brisbane,Queensland University of Technology,http://www.qutmotorsport.com
Dynamis PRC,E,Italy,Milano,Polytechnic of Milan,https://www.dynamisprc.com
HAWKS Racing e. V.,C,Germany,Hamburg,UAS Hamburg,https://hawksracing.de
UPC ecoRacing,E,Spain,Terrassa,ESEIAAT UPC Terrassa,http://www.ecoracing.es
Rennschmiede Pforzheim e.V.,E,Germany,Pforzheim,Pforzheim University,-
Formula Technion Driverless,D,Israel,Haifa,Technion - Israel Instit. of Techn.,-
GET racing Dortmund e.V,E,Germany,Dortmund,TU Dortmund,https://www.get-racing.de
Formula Electric Belgium,E,Belgium,Leuven,KU Leuven - Group T,http://www.formulaelectric.be
TUfast Driverless,D,Germany,München,TU Munich,http://tufast-racingteam.de/
ETSEIB Motorsport Driverless,D,Spain,Barcelona,ETSEIB UPC Barcelona,https://driverless.upc.edu/
Formula Manipal Driverless,D,India,Manipal,Manipal Academy of High. Edu.,-
High-Octane Driverless,D,Germany,Erlangen,FAU Erlangen-Nürnberg,https://www.octanes.de/
aUToronto,D,Canada,Toronto,University of Toronto,http://autodrive.utoronto.ca
Team Octane Racing Electric,E,India,Pune,College of Engineering Pune,-
Deefholt Dynamics e.V.,E,Germany,Diepholz,UAS Diepholz,http://www.deefholt-dynamics.de/
Black-and-Gold-Autonomous-Racing-Team,D,United States,West Lafayette,Purdue University - West Lafayette,-
WHZ Racing Team,E,Germany,Zwickau,UAS Zwickau,http://www.whz-racingteam.de
High Speed Karlsruhe,C,Germany,Karlsruhe,UAS Karlsruhe,http://www.highspeed-karlsruhe.de
UMD Racing e.V.,C,Germany,Magdeburg,OvG University of Magdeburg,http://www.umdracing.de
UPM Racing,E,Spain,Madrid,TU Madrid,http://www.upmracing.es
Panther Racing,C,United States,Pittsburgh,University of Pittsburgh,http://www.engineering.pitt.edu/FSAE/
Titan Racing Formula,C,United States,Fullerton,California State University, Fullerton,-
RobeSafe,D,Spain,Madrid,University of Alcalá,http://www.robesafe.es/index.php/en/
Team wob-racing.,E,Germany,Wolfenbüttel,UAS Ostfalia,http://www.wob-racing.de/
FSUPV Team,C,Spain,Valéncia,UPV Valéncia,http://www.fsupv.com
UVigo Motorsport,C,Spain,Vigo,University of Vigo,http://www.uvigomotorsport.com
BME FRT Driverless,D,Hungary,Budapest,TU Budapest,-
University Racing Eindhoven,D,Netherlands,Eindhoven,TU Eindhoven,http://www.universityracing.nl
Usurt,C,Russia,Ekaterinburg,Ural State Univ. of Railway Transport,-
REZOOM,D,United States,College Park,University of Maryland,-
FSULL-Dynamics,E,Spain,San Cristóbal de La Laguna,University of La Laguna,http://formula.iaas.ull.es/
Axlr8r Formula Racing,E,India,New Delhi,Indian Institute of Techn. Delhi,http://automobileclub.iitd.ac.in
Ignition Racing Team driverless,D,Germany,Osnabrück,UAS Osnabrück,http://www.ignition-racing.de
Fast Forest Ghostdriver,D,Germany,Deggendorf,Deggendorf Institute of Techn.,http://www.fast-forest.de
Lions Racing Team e.V.,D,Germany,Braunschweig,TU Braunschweig,https://www.lionsracing.de
Herkules Racing Team Kassel,E,Germany,Kassel,University of Kassel,http://www.herkulesracing.de/
Sapienza Corse Driverless ,D,Italy,Roma,Sapienza University of Rome,http://www.sapienzacorse.it
Maua Racing,C,Brazil,São Caetano do Sul,Instituto Mauá de Tecnologia,https://formula.maua.br/
Formule ETS,E,Canada,Montréal,ETS Montreal,http://formuleets.ca
War Eagle Motorsports,C,United States,Auburn,Auburn University,http://auracing.org
Wrench Wielders Racing,C,India,Pune,Symbiosis IT,http://www.wrenchwieldersracing.com
Elbflorace,E,Germany,Dresden,TU Dresden,http://www.elbflorace.de
Scuderia Mensa HS RheinMain Racing,E,Germany,Wiesbaden,UAS RheinMain,http://www.Scuderia-Mensa.de
Rennstall Esslingen,C,Germany,Esslingen,UAS Esslingen,http://www.rennstall-esslingen.de
Team RGIT Racing,E,India,Mumbai,Rajiv Gandhi IT,-
